No.,Time,Source,Destination,Info,Protocol,Length
93,1679479441.673694,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
94,1679479441.673577,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
95,1679479441.673762,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
96,1679479441.673797,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
97,1679479441.709957,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
98,1679479441.710313,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
99,1679479441.710395,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
100,1679479441.712998,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
101,1679479441.713844,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
102,1679479441.714045,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
103,1679479441.723576,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
104,1679479441.723606,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
105,1679479441.723807,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
106,1679479441.723884,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
107,1679479441.723952,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
108,1679479441.723990,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
